Frame,Visibility,X,Y,X_fused,Y_fused,is_interpolated,track_status
236,0,0,0,,,False,missing
237,0,0,0,,,False,missing
238,0,0,0,,,False,missing
239,0,0,0,,,False,missing
240,0,0,0,,,False,missing
241,0,0,0,,,False,missing
242,0,0,0,,,False,missing
243,0,0,0,,,False,missing
244,0,0,0,,,False,missing
245,0,0,0,,,False,missing
246,0,0,0,,,False,missing
247,0,0,0,,,False,missing
248,0,0,0,,,False,missing
249,0,0,0,,,False,missing
250,0,0,0,,,False,missing
251,0,0,0,,,False,missing
252,0,0,0,,,False,missing
253,0,0,0,,,False,missing
254,0,0,0,,,False,missing
255,0,0,0,,,False,missing
256,0,0,0,,,False,missing
257,0,0,0,,,False,missing
258,0,0,0,,,False,missing
259,0,0,0,,,False,missing
260,0,0,0,,,False,missing
261,0,0,0,,,False,missing
262,0,0,0,,,False,missing
263,0,0,0,,,False,missing
264,0,0,0,,,False,missing
265,0,0,0,,,False,missing
266,0,0,0,,,False,missing
267,0,0,0,,,False,missing
268,0,0,0,,,False,missing
269,0,0,0,,,False,missing
270,0,0,0,,,False,missing
271,0,0,0,,,False,missing
272,0,0,0,,,False,missing
273,0,0,0,,,False,missing
274,0,0,0,,,False,missing
275,0,0,0,,,False,missing
276,0,0,0,,,False,missing
277,0,0,0,,,False,missing
278,0,0,0,,,False,missing
279,0,0,0,,,False,missing
280,0,0,0,,,False,missing
281,0,0,0,,,False,missing
282,0,0,0,,,False,missing
283,0,0,0,,,False,missing
284,0,0,0,,,False,missing
285,0,0,0,,,False,missing
286,0,0,0,,,False,missing
287,0,0,0,,,False,missing
288,0,0,0,,,False,missing
289,0,0,0,,,False,missing
290,0,0,0,,,False,missing
291,0,0,0,,,False,missing
292,0,0,0,,,False,missing
293,0,0,0,,,False,missing
294,0,0,0,,,False,missing
295,0,0,0,,,False,missing
296,0,0,0,,,False,missing
297,0,0,0,,,False,missing
298,0,0,0,,,False,missing
299,0,0,0,,,False,missing
300,0,0,0,,,False,missing
301,0,0,0,,,False,missing
302,0,0,0,,,False,missing
303,0,0,0,,,False,missing
304,0,0,0,,,False,missing
305,0,0,0,,,False,missing
306,0,0,0,,,False,missing
307,0,0,0,,,False,missing
308,0,0,0,,,False,missing
309,0,0,0,,,False,missing
310,0,0,0,,,False,missing
311,0,0,0,,,False,missing
312,0,0,0,,,False,missing
313,0,0,0,,,False,missing
314,0,0,0,,,False,missing
315,0,0,0,,,False,missing
316,1,551,404,551.0,404.0,False,detected
317,1,551,404,551.0,404.0,False,detected
318,1,551,404,551.0,404.0,False,detected
319,1,551,404,551.0,404.0,False,detected
320,1,551,364,551.0,364.0,False,detected
321,1,551,368,551.0,368.0,False,detected
322,1,551,368,551.0,368.0,False,detected
323,1,551,364,551.0,364.0,False,detected
324,1,551,324,551.0,324.0,False,detected
325,1,551,324,551.0,324.0,False,detected
326,1,551,328,551.0,328.0,False,detected
327,1,551,328,551.0,328.0,False,detected
328,0,0,0,550.5,324.75,True,interpolated
329,0,0,0,550.0,321.5,True,interpolated
330,0,0,0,549.5,318.25,True,interpolated
331,1,549,315,549.0,315.0,False,detected
332,1,548,333,548.0,333.0,False,detected
333,1,548,333,548.0,333.0,False,detected
334,1,548,333,548.0,333.0,False,detected
335,1,548,333,548.0,333.0,False,detected
336,1,548,364,548.0,364.0,False,detected
337,1,548,364,548.0,364.0,False,detected
338,1,548,364,548.0,364.0,False,detected
339,1,548,364,548.0,364.0,False,detected
340,1,548,395,548.0,395.0,False,detected
341,1,548,400,548.0,400.0,False,detected
342,1,548,395,548.0,395.0,False,detected
343,1,548,395,548.0,395.0,False,detected
344,0,0,0,547.4426229508197,393.9016393442623,True,interpolated
345,0,0,0,546.8852459016393,392.8032786885246,True,interpolated
346,0,0,0,546.327868852459,391.7049180327869,True,interpolated
347,0,0,0,545.7704918032787,390.60655737704917,True,interpolated
348,0,0,0,545.2131147540983,389.5081967213115,True,interpolated
349,0,0,0,544.655737704918,388.40983606557376,True,interpolated
350,0,0,0,544.0983606557377,387.3114754098361,True,interpolated
351,0,0,0,543.5409836065573,386.21311475409834,True,interpolated
352,0,0,0,,,False,missing
353,0,0,0,,,False,missing
354,0,0,0,,,False,missing
355,0,0,0,,,False,missing
356,0,0,0,,,False,missing
357,0,0,0,,,False,missing
358,0,0,0,,,False,missing
359,0,0,0,,,False,missing
360,0,0,0,,,False,missing
361,0,0,0,,,False,missing
362,0,0,0,,,False,missing
363,0,0,0,,,False,missing
364,0,0,0,,,False,missing
365,0,0,0,,,False,missing
366,0,0,0,,,False,missing
367,0,0,0,,,False,missing
368,0,0,0,,,False,missing
369,0,0,0,,,False,missing
370,0,0,0,,,False,missing
371,0,0,0,,,False,missing
372,0,0,0,,,False,missing
373,0,0,0,,,False,missing
374,0,0,0,,,False,missing
375,0,0,0,,,False,missing
376,0,0,0,,,False,missing
