Frame,Visibility,X,Y
564,1,268,426
565,1,510,448
566,0,0,0
567,0,0,0
568,0,0,0
569,0,0,0
570,0,0,0
571,0,0,0
572,0,0,0
573,0,0,0
574,0,0,0
575,0,0,0
576,0,0,0
577,0,0,0
578,0,0,0
579,0,0,0
580,1,662,626
581,0,0,0
582,0,0,0
583,0,0,0
584,0,0,0
585,0,0,0
586,0,0,0
587,0,0,0
588,0,0,0
589,0,0,0
590,0,0,0
591,0,0,0
592,0,0,0
593,0,0,0
594,0,0,0
595,0,0,0
596,0,0,0
597,0,0,0
598,0,0,0
599,0,0,0
600,0,0,0
601,0,0,0
602,0,0,0
603,0,0,0
604,0,0,0
605,0,0,0
606,0,0,0
607,0,0,0
608,0,0,0
609,0,0,0
610,0,0,0
611,0,0,0
612,0,0,0
613,0,0,0
614,0,0,0
615,0,0,0
616,0,0,0
617,1,104,280
618,1,101,306
619,1,98,337
620,1,95,364
621,1,94,391
622,1,92,422
623,0,0,0
624,0,0,0
625,1,87,511
626,1,112,533
627,1,113,533
628,1,123,528
629,1,132,528
630,1,142,533
631,1,146,533
632,1,147,533
633,1,151,542
634,1,157,551
635,1,158,555
636,1,161,560
637,1,163,564
638,0,0,0
639,0,0,0
640,0,0,0
641,0,0,0
642,1,163,511
643,1,158,480
644,1,156,453
645,1,153,431
646,1,150,413
647,1,147,395
648,1,144,382
649,1,142,368
650,1,137,355
651,1,137,355
652,1,135,351
653,1,133,346
654,1,127,346
655,1,127,346
656,1,126,346
657,1,123,355
658,1,120,368
659,1,118,377
660,1,116,386
661,1,116,391
662,1,112,417
663,1,111,431
664,1,109,448
665,0,0,0
666,0,0,0
667,0,0,0
668,1,104,528
669,1,147,533
670,0,0,0
671,0,0,0
672,0,0,0
673,0,0,0
674,0,0,0
675,0,0,0
676,0,0,0
677,0,0,0
678,0,0,0
679,0,0,0
680,0,0,0
681,0,0,0
682,1,153,551
683,1,149,555
684,1,149,555
685,1,142,560
686,1,133,582
687,1,129,591
688,0,0,0
689,0,0,0
690,0,0,0
691,0,0,0
692,0,0,0
693,0,0,0
694,0,0,0
695,1,158,600
696,1,172,582
697,1,185,568
698,1,198,560
699,1,209,551
700,1,217,542
701,1,226,537
702,1,243,533
703,1,243,537
704,1,250,537
705,0,0,0
706,0,0,0
707,0,0,0
708,0,0,0
709,0,0,0
710,1,271,573
711,1,260,568
712,1,248,564
713,1,248,564
714,1,223,573
715,1,215,577
716,1,202,582
717,1,194,591
718,1,184,600
719,1,175,608
